MARQUES;MODELE;TYP. MINES;CNIT;CARB;CV;PUISS.;BV;Urbain;Ex.Urb;Mixte;CO2;;;;;
MERCEDES-BENZ;A 170 CDI FAMILY;MMB52C2PE811;168M709F2HCAABA0;GO;6;70.0;M 5;6.8;4.4;5.2;139;;;;;
RENAULT;CLIO 3P 1.9dTi CLIM;MRE5101E3912;CB0V0F;GO;5;59.0;M 5;6.7;4.3;5.2;139;;;;;
RENAULT;CLIO 5P 1.9dTi CLIM;MRE5102E4911;BB0V0F;GO;5;59.0;M 5;6.7;4.3;5.2;139;;;;;
RENAULT;MEGANE BERLINE 1.9dCi;MRE5302AR785;BA0505;GO;6;75.0;M 5;6.8;4.4;5.2;139;;;;;
RENAULT;MEGANE CLASSIC 1.9dCi;MRE5302AP782;LA0505;GO;6;75.0;M 5;6.8;4.4;5.2;139;;;;;
RENAULT;MEGANE COUPE 1.9dCi;MRE5301AT789;DA0505;GO;6;75.0;M 5;6.8;4.4;5.2;139;;;;;
AUDI;A33P 1.9TDI (130ch) BV6;MAU5581GM705;8LLASZF1FM62M001R8L60T2M;GO;7;96.0;M 6;7.0;4.3;5.2;140;;;;;
AUDI;A35P 1.9TDI (130ch) BV6;MAU5582GR708;8LLASZF1FM62M001R8L60T4M;GO;7;96.0;M 6;7.0;4.3;5.2;140;;;;;
FIAT;STILO 3P 1.9JTD (115ch);MFT5411VF084;192AXE1A08;GO;6;85.0;M 5;7.2;4.2;5.3;140;;;;;
NISSAN;MICRA 3P 1.5D;MJN5011DR238;K11EE02;GO;4;42.0;M 5;6.8;4.3;5.2;140;;;;;
NISSAN;MICRA 3P 1.5D;MJN5011DT240;K11EE06;GO;4;42.0;M 5;6.8;4.3;5.2;140;;;;;
